"","technology","icc","icc.lbound","icc.ubound","kripp","fleiss","fleiss.z","fleiss.p","p.anova","num","no.coders"
"1","DNA-based technologies",0.681921454073353,0.224753835339975,0.916225483822546,0.259743723283081,0.122388059701493,2.81816516356276,0.00482989579143633,NA,7,14
"2","Wildlife cameras",0.775939177101968,0.407634513133966,0.954886448687148,0.276688521395362,0.168687589158345,4.66421719973039,3.0979404046505e-06,NA,9,13
"3","Technologies to increase data quality and reduce uncertainty",0.491471215351812,-0.362484167479753,0.897948322924252,0.247810030518584,0.0451612903225806,0.997045630675498,0.31874236162435,NA,8,9
"4","GPS tracking devices",-0.886792452830188,-5.13193467653472,0.777008468258973,0.165617210508865,-0.0835453774385073,-1.24414853214084,0.213444901975198,NA,7,16
"5","Low earth orbit ultrafast broadband",0.478443743427971,-0.271178118549215,0.862634171297671,0.0925756638380256,0.0852855051244509,1.96478434990653,0.049439202303744,NA,7,9
"6","Collective intelligence",0.282711282711283,-0.722046655142679,0.81019672403419,0.0306840268574963,0.00662251655629142,0.166989101997414,0.867378623869783,NA,8,21
"7","Open source hardware",-3.20567375886525,-10.004114225141,0.151010933506542,-0.0860086882814155,-0.0764101517316459,-2.12322607437708,0.0337349120066688,NA,10,19
"8","Push Notifications",0.597334334522245,-0.162346465710899,0.934712637055456,0.146391731605199,0.00216198237152831,0.0500209852207597,0.960105665465034,NA,8,23
"9","Chatbot",0.72654370489174,0.310017093938925,0.935842138719383,0.216252200843576,0.0678648899907034,1.65904478944843,0.0971067672567227,NA,8,9
"10","Augmented reality",0.0729166666666671,-1.52847806646604,0.814763693211349,0.0160817279792315,0.032520325203252,0.662269883507773,0.507798274252821,NA,7,22
"11","Virtual reality",0.721271393643032,0.239810335996144,0.944308504120903,0.219001211917786,0.0175438596491228,0.329252303934259,0.741964991929779,NA,7,7
"12","Neural marketing",-4.70833333333333,-19.3063551794584,0.594277670349303,0.0277008648436367,-0.0679513184584179,-1.52258527974543,0.127862494858233,NA,9,9
"13","Digital twins",-0.878787878787881,-5.10592040821004,0.777954492939086,0.0252702217244027,-0.104444444444444,-1.55210091868844,0.1206380782184,NA,7,20
"14","Tools for sensory impaired citizen scientists",0.775219298245614,0.360641015341696,0.963443619758447,0.321438611317193,0.0413424124513618,0.987366410330033,0.323463044888118,NA,9,11
"15","Robots",-1.27472527472527,-9.0540995653749,0.942339454088713,0.113508279588901,-0.0714285714285714,-1.00097799534377,0.316837446817985,NA,8,17
"16","Ecological interaction approaches",0.739413680781759,0.185377415480494,0.969018877940174,0.12465713399155,0.0352697095435685,0.777950793132716,0.436598022587146,NA,9,21
"17","Machine learning",0.58174178762414,-0.120625241842981,0.916063842771082,0.0546744119950358,-0.00282752120640906,-0.060828885687793,0.951495485458618,NA,8,10
"18","Image analysis satellites",0.776809067131648,0.456021423296542,0.941216681679145,0.312852085278556,0.126705653021442,3.29923398615705,0.000969490646148596,NA,7,11
"19","Drones",0.721364744110479,0.285399209713325,0.934925071420059,0.248328455891896,0.0772820064158648,1.68552900119191,0.0918865543306957,NA,7,16
"20","Adaptive sampling",0.306607929515418,-0.749561755904176,0.837317505330724,0.131564757953293,0.00811377518461118,0.231370890890245,0.817026677376452,NA,8,9
"21","Internet of things",0.5483288166215,-0.100848696291473,0.881040279693815,0.11858041727041,-0.00075642965204242,-0.0162499505623962,0.987034985927165,NA,7,17
"22","Open data and open source",0.601408450704225,-0.00572325608962676,0.906483113445166,0.161034384220487,0.0554644545191473,1.40272394251181,0.160699174820659,NA,8,8
"23","eNose technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"24","Data exchange tools",0.249999999999999,-3.91532656475424,0.999232114369404,0.243305604962908,-0.05,-0.324037034920393,0.745909995805377,NA,7,9
"25","Visual storytelling",0.801154086088584,0.467238792274505,0.960095554849744,0.291260489711695,0.0880829015544042,2.11794853324956,0.0341794266606237,NA,8,10
"26","Social media mining",0.595858475041141,-0.00733250723596668,0.904852309976371,0.152105643611168,0.0399315459212778,1.11133231613275,0.266425334198537,NA,9,16
"27","Social media",0.9,0.759922801845838,0.973538789696393,0.511675224986528,0.21127772290563,5.12295211173586,3.00788762119808e-07,NA,8,10
"28","Google Street view",0.675279329608938,0.076374989052004,0.947190251625433,0.195055793227166,0.0192885771543086,0.468173142213778,0.639660777070062,NA,9,11
"29","AI analysis on sensors",0.90133779264214,0.691570675723206,0.988270044651555,0.274149353845201,0.119073275862069,2.54464531597329,0.0109388785954945,NA,9,10
"30","Computational infrastructure to handle big volumes of data",0.943943943943944,0.834969230084266,0.990947606667586,0.67682768481468,0.365558912386707,7.25668341691235,3.96793709001031e-13,NA,7,13
"31","Artificial intelligence",0.501730103806228,-0.280089932175133,0.870846854788638,0.11023490850069,0.0400449101796408,0.566330140098945,0.571169375101151,NA,5,16
"32","Acoustic analysis",-2.78571428571428,-15.3494619853557,0.904052832723696,0.11278876850889,-0.086864406779661,-1.43107127184835,0.152409789747323,NA,9,19
"33","Data aggregation software and visualisation and analysis tools",-0.179413179413179,-1.83150211579608,0.687912998247025,-0.00953577584297394,-0.0245647507751014,-0.655981839390624,0.511835809167828,NA,8,16
"34","Data analysis to reveal early signals of invasion",0.67553865652725,-0.0544751545148683,0.961653370054978,0.217045679665928,-0.0500000000000001,-0.904664586383713,0.365643107738311,NA,7,15
"35","Gamification",0.459915611814346,-0.462222557007195,0.862145509627635,0.157327045691376,0.0505494505494505,0.607413036863942,0.543576838833889,NA,4,15
"36","Mobile-based data collection platforms",0.486153846153846,-0.219725084128247,0.863547287833735,0.0459480761680409,-0.00759817105970949,-0.165756310342098,0.868348729693537,NA,9,11
"37","Advanced natural language generation",0.104477611940298,-2.00269483834176,0.894656772806684,-0.0226695652173912,-0.0402476780185759,-0.584511260660261,0.558876391417676,NA,6,15
